,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,dau_audience,mau_audience,timestamp,publisher_platforms,mock_response
0,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AE']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AE']}))","{'geo_locations': {'countries': ['AE'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":664,""estimate_mau"":1000,""estimate_ready"":true}]}'",676,1000,1601834180,"[""facebook""]",FALSE
1,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AF']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AF']}))","{'geo_locations': {'countries': ['AF'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau"":1000,""estimate_ready"":true}]}'",0,1000,1601834180,"[""facebook""]",FALSE
2,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AL']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AL']}))","{'geo_locations': {'countries': ['AL'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":989,""estimate_mau"":1000,""estimate_ready"":true}]}'",1143,1000,1601834180,"[""facebook""]",FALSE
3,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AR']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AR']}))","{'geo_locations': {'countries': ['AR'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau"":1000,""estimate_ready"":true}]}'",0,1000,1601834180,"[""facebook""]",FALSE
4,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AT']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AT']}))","{'geo_locations': {'countries': ['AT'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":11767,""estimate_mau"":14000,""estimate_ready"":true}]}'",33254,14000,1601834180,"[""facebook""]",FALSE
5,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['AU']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['AU']}))","{'geo_locations': {'countries': ['AU'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":1384,""estimate_mau"":1800,""estimate_ready"":true}]}'",1606,1800,1601834180,"[""facebook""]",FALSE
6,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['BA']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['BA']}))","{'geo_locations': {'countries': ['BA'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":3469,""estimate_mau"":4600,""estimate_ready"":true}]}'",6248,4600,1601834180,"[""facebook""]",FALSE
7,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['BE']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['BE']}))","{'geo_locations': {'countries': ['BE'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":831,""estimate_mau"":1000,""estimate_ready"":true}]}'",839,1000,1601834180,"[""facebook""]",FALSE
8,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['BG']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['BG']}))","{'geo_locations': {'countries': ['BG'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":2503,""estimate_mau"":3600,""estimate_ready"":true}]}'",3975,3600,1601834180,"[""facebook""]",FALSE
9,Expats Distribution in Serbia,,"{'min': 45, 'max': 54}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,,"{'name': 'countries', 'values': ['BH']}",,"(('ages_ranges', {'min': 45, 'max': 54}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('geo_locations', {'name': 'countries', 'values': ['BH']}))","{'geo_locations': {'countries': ['BH'], 'location_types': ['home']}, 'age_min': 45, 'age_max': 54, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":989,""estimate_mau"":1000,""estimate_ready"":true}]}'",1083,1000,1601834180,"[""facebook""]",FALSE
