Year	name_short	name	University of Belgrade	University of Novi Sad	University of Nis	University of Kragujevac	State University of Novi Pazar	Total	Growth
2019	Agriculture	Agriculture	42	101	12	2	0	157	9.0%
2019	Biology	Biology	337	112	76	97	0	622	-14.6%
2019	Chemistry	Chemistry	602	229	86	86	0	1003	27.8%
2019	Comp.Sci.	Computer Science	343	254	135	38	1	771	44.6%
2019	Engineering	Engineering	20	7	5	3	1	36	-72.2%
2019	Env.Sci.	Environmental Science	103	81	18	9	1	212	120.2%
2019	Mat.Sci.	Materials Science	454	108	71	17	1	651	18.6%
2019	Mathematics	Mathematics	163	118	132	46	0	459	-11.1%
2019	Medicine	Medicine	780	251	151	152	0	1334	43.0%
2019	Other	Other	482	62	57	25	6	632	77.8%
2019	Physics	Physics	251	17	37	12	0	317	-9.7%
2019	Psychology	Psychology	118	92	43	51	1	305	92.7%
									
									
									
									
									
									
									
									
									
									
									
									
									
