Country,Migrants,Single,Committed,Percent_single,Percent_committed,Male,Female,Percent_male,Percent_female,Primary,Secondary,Tertiary,Percent_primary,Percent_secondary,Percent_tertiary,age_13-17,age_18-24,age_25-34,age_35-44,age_45-54,age_55-64,age_65+,Percent_17,Percent_24,Percent_34,Percent_44,Percent_54,Percent_64,Percent_65+,Continent,code
Afghanistan,860,0,860,0.000,1.000,860,0,1.000,0.000,0,860,0,0.000,1.000,0.000,0,0,860,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,Asia,AF
Albania,2441,1216,1225,0.498,0.502,917,1524,0.376,0.624,468,1074,899,0.192,0.440,0.368,0,0,730,0,1143,568,0,0.000,0.000,0.299,0.000,0.468,0.233,0.000,Europe,AL
Algeria,443,99,344,0.223,0.777,157,286,0.354,0.646,61,297,85,0.138,0.670,0.192,0,0,443,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,Africa,DZ
Argentina,1499,750,749,0.500,0.500,1499,0,1.000,0.000,151,486,862,0.101,0.324,0.575,0,0,323,0,0,1176,0,0.000,0.000,0.215,0.000,0.000,0.785,0.000,South America,AR
Australia,11221,3407,7814,0.304,0.696,5762,5459,0.514,0.486,1066,5914,4241,0.095,0.527,0.378,0,880,1383,1832,1606,2326,3194,0.000,0.078,0.123,0.163,0.143,0.207,0.285,Oceania,AU
Austria,140769,37067,103702,0.263,0.737,73887,66882,0.525,0.475,9900,84223,46646,0.070,0.598,0.331,1175,10562,39024,34475,33254,14054,8225,0.008,0.075,0.277,0.245,0.236,0.100,0.058,Europe,AT
Bahrain,1486,988,498,0.665,0.335,1486,0,1.000,0.000,0,1113,373,0.000,0.749,0.251,0,0,0,403,1083,0,0,0.000,0.000,0.000,0.271,0.729,0.000,0.000,Asia,BH
Belarus,2401,1598,803,0.666,0.334,1395,1006,0.581,0.419,69,1450,882,0.029,0.604,0.367,0,0,621,1163,0,617,0,0.000,0.000,0.259,0.484,0.000,0.257,0.000,Europe,BY
Belgium,6931,2819,4112,0.407,0.593,4264,2667,0.615,0.385,718,4092,2121,0.104,0.590,0.306,0,1003,1176,1013,839,210,2690,0.000,0.145,0.170,0.146,0.121,0.030,0.388,Europe,BE
Bosnia And Herzegovina,41035,12731,28304,0.310,0.690,19803,21232,0.483,0.517,2701,22453,15881,0.066,0.547,0.387,0,5627,12103,8828,6248,3175,5054,0.000,0.137,0.295,0.215,0.152,0.077,0.123,Europe,BA
Brazil,5674,2434,3240,0.429,0.571,2196,3478,0.387,0.613,683,3072,1919,0.120,0.541,0.338,901,912,546,589,566,1189,971,0.159,0.161,0.096,0.104,0.100,0.210,0.171,South America,BR
Bulgaria,23939,7423,16516,0.310,0.690,11324,12615,0.473,0.527,1621,10902,11416,0.068,0.455,0.477,0,2594,6045,7651,3975,2051,1623,0.000,0.108,0.253,0.320,0.166,0.086,0.068,Europe,BG
Canada,11163,2357,8806,0.211,0.789,5237,5926,0.469,0.531,1120,5238,4805,0.100,0.469,0.430,944,611,1944,2373,1501,1477,2313,0.085,0.055,0.174,0.213,0.134,0.132,0.207,North America,CA
Cayman Islands,1136,0,1136,0.000,1.000,1136,0,1.000,0.000,0,0,1136,0.000,0.000,1.000,0,0,0,0,1136,0,0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,Central America,KZ
China,3534,0,3534,0.000,1.000,1184,2350,0.335,0.665,0,0,3534,0.000,0.000,1.000,0,0,1629,0,1905,0,0,0.000,0.000,0.461,0.000,0.539,0.000,0.000,Asia,CN
Colombia,4837,3225,1612,0.667,0.333,2687,2150,0.556,0.444,204,2988,1645,0.042,0.618,0.340,0,984,524,977,1054,1298,0,0.000,0.203,0.108,0.202,0.218,0.268,0.000,South America,CO
Croatia,15675,4098,11577,0.261,0.739,7652,8023,0.488,0.512,1214,9428,5033,0.077,0.601,0.321,0,802,3145,3931,2862,2493,2442,0.000,0.051,0.201,0.251,0.183,0.159,0.156,Europe,HR
Cyprus,3151,0,3151,0.000,1.000,1748,1403,0.555,0.445,232,499,2420,0.074,0.158,0.768,0,0,759,133,0,0,2259,0.000,0.000,0.241,0.042,0.000,0.000,0.717,Europe,CY
Czech Republic,8012,3781,4231,0.472,0.528,4390,3622,0.548,0.452,898,4692,2422,0.112,0.586,0.302,0,1141,712,804,1229,1038,3088,0.000,0.142,0.089,0.100,0.153,0.130,0.385,Europe,CZ
Denmark,4281,1944,2337,0.454,0.546,2613,1668,0.610,0.390,476,2593,1212,0.111,0.606,0.283,0,218,851,778,1001,847,586,0.000,0.051,0.199,0.182,0.234,0.198,0.137,Europe,DK
